cat,subcat,name,website,facebook,location
Culture,Museums,The Blairs Museum,https://www.blairsmuseum.org.uk/,https://www.facebook.com/BlairsMuseum/,"57.098896,-2.194626"
Culture,Art galleries,Artists Gallery,http://www.albumcoverart.co.uk/,https://www.facebook.com/artistsgallerynews/,"57.1329352,-2.1162165"
Culture,Museums,Gordon Highlanders Museum,http://www.gordonhighlanders.com/,https://www.facebook.com/thegordonhighlandersmuseum/,"57.137876,-2.146189"
Culture,Sights,Torry Battery,https://visitabdn.com/listing/aberdeen-harbour-and-torry-battery,https://www.facebook.com/visitabdn/,"57.1416533,-2.059671"
Culture,Faith,Aberdeen Synagogue,http://www.asjcc.org.uk/,https://www.facebook.com/asjccsocial/,"57.1422798,-2.1031478"
Culture,Faith,Thai Temple,http://thaibuddharam.org.uk/,https://www.facebook.com/thaibuddharamtemple.aberdeen/,"57.1441654,-2.1725357"
Culture,Museums,Maritime Museum,http://www.aagm.co.uk/Visit/AberdeenMaritimeMuseum/amm-overview.aspx,https://www.facebook.com/AbdnArtMuseums/,"57.1464643,-2.0948229"
Culture,Art galleries,Aberdeen Art Gallery,http://www.aagm.co.uk/,https://www.facebook.com/AbdnArtMuseums/,"57.148084,-2.102563"
Culture,Theatre,Aberdeen Arts Centre,http://www.aberdeenartscentre.com/,https://www.facebook.com/aberdeenartscentre/,"57.1493976,-2.093913"
Culture,Faith,Aberdeen Mosque,https://aberdeenmosque.org/,https://www.facebook.com/AMICSocial/,"57.160902,-2.100769"
Culture,Art galleries,Aberdeen Treasure Hub,http://www.aagm.co.uk/Visit/AberdeenTreasureHub/ath-overview.aspx,https://www.facebook.com/AbdnArtMuseums/,"57.166784,-2.154134"
Culture,Castles,Craigievar Castle,https://www.nts.org.uk/,https://www.facebook.com/CraigievarCastleNTS/,"57.174665,-2.719125"
Culture,Sights,Balmedie Beach,https://www.visitscotland.com/info/towns-villages/balmedie-beach-p315451,https://www.facebook.com/balmediebeach/,"57.2543313,-2.0341701"
Dining,Takeaway,Mr Chips,http://www.mrchipsaberdeen.com/,https://www.facebook.com/MrChipsaberdeen/,"57.1313535,-2.1374151"
Dining,Pubs,The Holburn Bar,http://www.holburnbar-aberdeen.co.uk/,https://www.facebook.com/holburn.bar/,"57.13766219999999,-2.114182"
Dining,Cafes/Coffee shops,Long Dog Cafe,http://www.thelongdogcafe.co.uk/,https://www.facebook.com/thelongdogcafe/,"57.1382898,-2.1221581"
Dining,Pubs,Foundry,https://www.greatukpubs.co.uk/foundryaberdeen,https://www.facebook.com/foundry.aberdeen/,"57.1418514,-2.1123015"
Dining,Italian,Da Vinci Restaurant,https://davinciaberdeen.wordpress.com/,https://www.facebook.com/davincirestaurantaberdeen/,"57.142508,-2.1130013"
Dining,Italian,Cafe Harmony,https://www.cafeharmony.co.uk/,https://www.facebook.com/CafeHarmonyAbz/,"57.143047,-2.108379"
Dining,Pubs,Justice Mill,https://www.facebook.com/186528218845/,https://www.facebook.com/186528218845/,"57.1433879,-2.1096889"
Dining,Indian,Pan Asia Restaurant,http://www.panasiaaberdeen.co.uk/,https://www.facebook.com/PanAsiaAberdeen/,"57.1439542,-2.1006195"
Dining,Chinese,COSMO World Buffet Restaurant,https://www.cosmo-restaurants.co.uk/restaurants/aberdeen,https://www.facebook.com/CosmoAberdeen/,"57.1443271,-2.096176"
Dining,Pubs,The Stag,https://www.facebook.com/thestagaberdeen/,https://www.facebook.com/thestagaberdeen/,"57.14471469999999,-2.1038701"
Dining,Pubs,The Grill,https://www.facebook.com/thegrillaberdeen/,https://www.facebook.com/thegrillaberdeen/,"57.14491599999999,-2.104321"
Dining,Chinese,Yangtze River Restaurant,http://yangtzeaberdeen.moonfruit.com/,https://www.facebook.com/160180077330975/,"57.1452616,-2.1020724"
Dining,Cafes/Coffee shops,Caffè Nero,https://caffenero.com/uk/en/,https://www.facebook.com/136152063765915/,"57.1452841,-2.103861"
Dining,Indian,Ambals Indian Restaurant,https://www.ambals.co.uk,https://www.facebook.com/379022765611470/,"57.145336,-2.10226"
